Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lithuania,0.7152606,0.6712003,0.7862099,0.9645323,0.7421364,0.759794,0.82828,0.7757972,0.7410422,0.7798127,0.8669418
Luxembourg,1.461219,1.317427,1.331919,1.335248,1.378324,1.439398,1.419485,1.326013,1.362696,1.349191,1.233051
"Macao SAR, China",0.5735781,0.6077605,0.6287856,0.7577229,1.206169,1.202256,1.417062,1.430736,1.253313,1.238523,1.154982
Madagascar,-0.9783388,-0.7055859,-0.536137,-0.6599934,-0.5572358,-0.4273629,-0.2900946,-0.3012818,-0.5794187,-0.3206965,-0.4554836
Malawi,0.0438958,-0.0729127,-0.0026862,-0.2058098,0.0810932,0.0318961,-0.1134786,-0.251164,-0.4323802,-0.2801754,-0.2371846
Malaysia,0.1433521,0.0774098,-0.0052124,0.0517916,0.2666191,0.2589576,0.1368246,0.1164103,0.2515688,0.1438768,0.1216756
Maldives,-0.1662439,-0.2426302,-0.3651715,0.1250374,0.6790962,0.4206715,0.4209928,0.2320411,0.0897951,0.0320022,0.4120386
Mali,-0.1828992,-0.7083797,-2.034329,-1.722162,-1.713989,-1.685664,-1.617233,-1.906901,-2.088723,-2.201104,-2.147444
Malta,1.253456,1.063937,1.065075,1.042758,1.125497,1.063939,1.080441,1.249405,1.283979,1.024583,0.9510368
Marshall Islands,1.153066,1.061804,1.0264,1.054115,0.9895858,0.9194738,0.2077492,0.8745483,0.7296695,0.755262,0.5895172
Martinique,0.3958711,0.6189699,0.5815817,0.6266679,0.9138978,0.983049,0.9996701,1.001911,0.9761723,0.7732932,0.628841
Mauritania,-1.07617,-1.173679,-1.133992,-1.014761,-0.5895084,-0.6378012,-0.7469677,-0.6269363,-0.6292259,-0.5687606,-0.75134
Mauritius,0.6402588,0.9464994,0.9713124,0.9448017,0.6679659,0.9986154,1.013187,0.9711304,0.8687,0.8092755,0.8893682
Mexico,-0.7264634,-0.6677686,-0.6624542,-0.7142238,-0.8539188,-0.7986991,-0.6290694,-0.7974465,-0.648208,-0.8369034,-0.8500293
"Micronesia, Fed. Sts.",1.209317,1.101389,1.15087,1.102859,0.9845507,1.035154,1.057582,1.178782,1.168875,1.108845,1.075389
Moldova,-0.3813407,-0.0492937,0.0464905,0.0008086,-0.1589878,-0.3274402,-0.3035599,-0.3189894,-0.4044816,-0.3932399,-0.4173256
Monaco,0.9641737,1.042409,1.048162,1.056244,1.023348,0.9918019,1.014577,1.630338,1.608017,1.57937,0.87713
Mongolia,0.5970423,0.6065389,0.4711348,0.4913208,0.7919012,0.7163844,0.7977929,0.7889858,0.8336846,0.6343787,0.793758
Montenegro,0.584211,0.5653415,0.596563,0.5045955,0.2194553,0.1407977,0.2766306,-0.0577443,0.0442785,0.0676736,-0.0026279
Morocco,-0.3830133,-0.3922568,-0.4704588,-0.4930176,-0.4462656,-0.3414874,-0.3125735,-0.3739875,-0.3452106,-0.3398933,-0.326688
Mozambique,0.3944219,0.3320483,0.3904937,-0.2269665,-0.3360027,-0.5138951,-1.094005,-0.9286562,-0.8245641,-0.749242,-1.16108
Myanmar,-1.285928,-1.111098,-0.943675,-1.140372,-1.087581,-1.165067,-0.8046199,-1.084839,-1.268853,-1.328067,-1.513142
Namibia,0.84694,0.9116575,0.9781043,0.95881,0.6087406,0.7331128,0.7100897,0.6283516,0.6915024,0.5296495,0.6464528
Nauru,1.453984,1.061804,1.0264,1.054115,0.6013344,0.5437602,0.5790772,0.5188398,0.7876214,0.7728432,0.9350108
Nepal,-1.583971,-1.416444,-1.381232,-1.129146,-0.7245995,-0.9983346,-0.846812,-0.6106943,-0.5617288,-0.4538026,-0.1973841
Netherlands,0.9407501,1.113631,1.187465,1.143815,1.045115,0.9261193,0.9122675,0.9211125,0.8542672,0.8475496,0.8503547
Netherlands Antilles,0.9598802,1.205775,1.078248,0.6764035,..,..,..,..,..,..,..
New Zealand,1.236489,1.376731,1.361366,1.453927,1.467928,1.525453,1.519183,1.595223,1.533905,1.411302,1.486
Nicaragua,-0.4997092,-0.2697358,-0.3487776,-0.2492159,-0.0407801,-0.0866075,-0.0887977,-0.0488942,-0.9523925,-1.004794,-0.6496124
Niger,-1.160745,-0.8780045,-1.148131,-1.321799,-1.17584,-1.066546,-1.103307,-1.265764,-1.364558,-1.410087,-1.742846
Nigeria,-2.211123,-1.956455,-2.042074,-2.088478,-2.130276,-1.925443,-1.87771,-1.999155,-2.101823,-1.920183,-1.859349
Niue,1.322361,..,..,..,..,..,..,..,0.9891694,1.326901,1.350626
North Macedonia,-0.5185171,-0.6179638,-0.4926495,-0.4160764,0.2563829,-0.2870161,-0.3512047,-0.2543324,-0.2087288,0.0043563,0.0983495
Norway,1.332312,1.337977,1.32747,1.352092,1.119959,1.161716,1.200074,1.170479,1.141179,1.170565,1.248287
Oman,0.5902417,0.4324405,0.4620771,0.4595302,0.7349073,0.7833398,0.760053,0.7543823,0.6477199,0.5875344,0.3737737
Pakistan,-2.675933,-2.810035,-2.677004,-2.603302,-2.401279,-2.482708,-2.483173,-2.406306,-2.269401,-2.265187,-1.853356
Palau,1.453984,1.061804,1.0264,1.054115,0.9895858,0.9194738,0.9504054,0.8745483,0.8498075,0.8770632,0.8887936
Panama,-0.1160482,-0.0282189,-0.1794327,-0.1412609,0.2090082,0.3860773,0.4114301,0.389817,0.2609004,0.3036199,0.2297324
Papua New Guinea,-0.8084438,-0.7546774,-0.5904424,-0.5202469,-0.3393671,-0.4221483,-0.5047721,-0.6978666,-0.6772177,-0.6973711,-0.7393168
Paraguay,-0.8348622,-0.6925966,-0.8719022,-0.7358616,-0.0886275,0.038498,0.1417897,0.001771,-0.0797712,-0.0103485,0.0151681
Peru,-0.9999154,-0.7607497,-0.9073647,-0.8057398,-0.5506569,-0.3975714,-0.2017269,-0.2595458,-0.2704434,-0.152365,-0.2868988
Philippines,-1.65076,-1.392182,-1.18824,-1.084253,-0.7138209,-0.8556625,-1.379819,-1.18508,-1.092062,-0.9151124,-0.7937949
Poland,1.01733,1.072063,1.049479,0.973355,0.8429408,0.8748524,0.507242,0.5183783,0.4925416,0.5636535,0.5743839
Portugal,0.717687,0.7417393,0.7752726,0.7487634,0.8062744,0.9178401,0.9740514,1.118587,1.129285,1.066231,1.026339
Puerto Rico,0.3569765,0.600149,0.5849734,0.2491559,0.8199927,0.8551208,0.689354,0.4847353,0.2777765,0.1380345,0.4316497
